gene	gene_name_mut_table
PLXNC1	PLXNC1
PPFIA2	PPFIA2
PPP1CC	PPP1CC
PPP1R12A	PPP1R12A
PPTC7	PPTC7
PRICKLE1	PRICKLE1
PRMT8	PRMT8
PRPF40B	PRPF40B
PTGES3	PTGES3
PTPN11	PTPN11
PTPN6	PTPN6
R3HDM2	R3HDM2
RAB35	RAB35
RAN	RAN
RAP1B	RAP1B
RARG	RARG
RASSF8	RASSF8
RFX4	RFX4
RIC8B	RIC8B
RNF41	RNF41
RPL6	RPL6
RSRC2	RSRC2
SARNP	SARNP
SART3	SART3
SBNO1	SBNO1
SCAF11	SCAF11
SCN8A	SCN8A
SENP1	SENP1
SETD1B	SETD1B
SFSWAP	SFSWAP
SLC38A1	SLC38A1
SLC38A2	SLC38A2
SLC41A2	SLC41A2
SLC4A8	SLC4A8
SMARCC2	SMARCC2
SMARCD1	SMARCD1
SOX5	SOX5
SP1	SP1
SPATS2	SPATS2
SPPL3	SPPL3
SRGAP1	SRGAP1
STAT2	STAT2
STAT6	STAT6
STK38L	STK38L
STRAP	STRAP
SVOP	SVOP
TAOK3	TAOK3
TBX3	TBX3
TBX5	TBX5
TMEM132B	TMEM132B
TMEM132D	TMEM132D
TNFRSF1A	TNFRSF1A
TUBA1A	TUBA1A
TUBA1B	TUBA1B
ULK1	ULK1
USP15	USP15
USP5	USP5
WBP11	WBP11
WNK1	WNK1
WSB2	WSB2
XPOT	XPOT
ZCCHC8	ZCCHC8
ZDHHC17	ZDHHC17
ZFC3H1	ZFC3H1
ZNF384	ZNF384
FMN2	FMN2
FOXJ3	FOXJ3
FUBP1	FUBP1
GABRD	GABRD
GATAD2B	GATAD2B
GCLM	GCLM
GLUL	GLUL
GMEB1	GMEB1
GNB1	GNB1
GON4L	GON4L
GRHL3	GRHL3
GRIK3	GRIK3
HEATR1	HEATR1
HIPK1	HIPK1
HIVEP3	HIVEP3
HNRNPR	HNRNPR
HNRNPU	HNRNPU
HORMAD1	HORMAD1
HP1BP3	HP1BP3
ILDR2	ILDR2
ILF2	ILF2
INTS3	INTS3
IPO13	IPO13
IPO9	IPO9
IRF6	IRF6
ITPKB	ITPKB
IVNS1ABP	IVNS1ABP
JAK1	JAK1
KCNA2	KCNA2
KCND3	KCND3
KCNN3	KCNN3
KDM1A	KDM1A
KDM4A	KDM4A
KHDRBS1	KHDRBS1
KIAA0907	KIAA0907
KIF1B	KIF1B
KIF26B	KIF26B
KIRREL	KIRREL
KPNA6	KPNA6
LAMC1	LAMC1
LAPTM5	LAPTM5
AKAP11	AKAP11
ARHGEF7	ARHGEF7
CHAMP1	CHAMP1
COG3	COG3
COL4A1	COL4A1
CUL4A	CUL4A
DACH1	DACH1
DCLK1	DCLK1
DOCK9	DOCK9
EFNB2	EFNB2
FAM155A	FAM155A
FBXL3	FBXL3
FGF14	FGF14
FGF9	FGF9
FLT1	FLT1
FNDC3A	FNDC3A
FOXO1	FOXO1
FRY	FRY
HS6ST3	HS6ST3
HSPH1	HSPH1
INTS6	INTS6
IPO5	IPO5
IRS2	IRS2
KBTBD6	KBTBD6
KLF12	KLF12
KPNA3	KPNA3
LATS2	LATS2
LRCH1	LRCH1
MYCBP2	MYCBP2
MYO16	MYO16
NBEA	NBEA
NUPL1	NUP58
PAN3	PAN3
PDS5B	PDS5B
POMP	POMP
PSPC1	PSPC1
RB1	RB1
RBM26	RBM26
RNF17	RNF17
SLAIN1	SLAIN1
SLC7A1	SLC7A1
SLITRK1	SLITRK1
SPRY2	SPRY2
TFDP1	TFDP1
TM9SF2	TM9SF2
TNFSF13B	TNFSF13B
TPP2	TPP2
TSC22D1	TSC22D1
USP12	USP12
XPO4	XPO4
ZC3H13	ZC3H13
ZIC2	ZIC2
LCK	LCK
LEPR	LEPR
LHX9	LHX9
LIN9	LIN9
LMNA	LMNA
LMX1A	LMX1A
LPGAT1	LPGAT1
LRP8	LRP8
LRRC41	LRRC41
LRRC7	LRRC7
LRRC8B	LRRC8B
LRRC8D	LRRC8D
LYPLA2	LYPLA2
MACF1	MACF1
MAN1A2	MAN1A2
MAP7D1	MAP7D1
MAPKAPK2	MAPKAPK2
MCL1	MCL1
MDM4	MDM4
MEF2D	MEF2D
MEX3A	MEX3A
MFN2	MFN2
HIAT1	MFSD14A
MRTO4	MRTO4
MTF1	MTF1
MTF2	MTF2
MTOR	MTOR
NASP	NASP
NAV1	NAV1
NCDN	NCDN
NCSTN	NCSTN
NDC1	NDC1
NEGR1	NEGR1
NFASC	NFASC
NFIA	NFIA
NMNAT2	NMNAT2
NOTCH2	NOTCH2
NTNG1	NTNG1
NUCKS1	NUCKS1
ACIN1	ACIN1
ACTN1	ACTN1
AHSA1	AHSA1
AKAP6	AKAP6
AKT1	AKT1
ARHGAP5	ARHGAP5
ARID4A	ARID4A
ATL1	ATL1
BAZ1A	BAZ1A
BCL11B	BCL11B
BEGAIN	BEGAIN
BMP4	BMP4
CALM1	CALM1
CCNK	CCNK
CDC42BPB	CDC42BPB
CEP170B	CEP170B
CHD8	CHD8
CYP46A1	CYP46A1
DAAM1	DAAM1
DCAF5	DCAF5
DDHD1	DDHD1
DICER1	DICER1
DYNC1H1	DYNC1H1
EIF2S1	EIF2S1
EIF5	EIF5
ELMSAN1	ELMSAN1
EML1	EML1
EVL	EVL
EXOC5	EXOC5
FBLN5	FBLN5
FBXO33	FBXO33
FERMT2	FERMT2
FOXG1	FOXG1
FOXN3	FOXN3
G2E3	G2E3
GCH1	GCH1
GPHN	GPHN
GTF2A1	GTF2A1
HECTD1	HECTD1
HIF1A	HIF1A
HNRNPC	HNRNPC
INF2	INF2
ITPK1	ITPK1
JAG2	JAG2
JPH4	JPH4
LIN52	LIN52
MAP4K5	MAP4K5
MDGA2	MDGA2
MMP14	MMP14
MTA1	MTA1
NAA30	NAA30
NFKBIA	NFKBIA
NOVA1	NOVA1
NPAS3	NPAS3
NRXN3	NRXN3
OTX2	OTX2
PACS2	PACS2
PAPOLA	PAPOLA
PCNX1	PCNX1
PPM1A	PPM1A
PPP1R13B	PPP1R13B
PPP2R5C	PPP2R5C
PPP2R5E	PPP2R5E
SMEK1	PPP4R3A
PRMT5	PRMT5
PRPF39	PRPF39
PSEN1	PSEN1
PSMA3	PSMA3
PSMA6	PSMA6
PSMB5	PSMB5
PSMC1	PSMC1
PSMC6	PSMC6
RALGAPA1	RALGAPA1
RBM25	RBM25
RCOR1	RCOR1
RNF31	RNF31
RPS6KA5	RPS6KA5
RTN1	RTN1
SAMD4A	SAMD4A
SCFD1	SCFD1
SEL1L	SEL1L
SIPA1L1	SIPA1L1
SNW1	SNW1
SOS2	SOS2
SPTB	SPTB
SRP54	SRP54
SUPT16H	SUPT16H
TGFB3	TGFB3
TOX4	TOX4
TRAF3	TRAF3
TRIM9	TRIM9
TTC7B	TTC7B
UNC79	UNC79
VRTN	VRTN
WDR20	WDR20
YLPM1	YLPM1
YY1	YY1
ZBTB1	ZBTB1
ZFHX2	ZFHX2
ZNF219	ZNF219
OSBPL9	OSBPL9
PABPC4	PABPC4
PANK4	PANK4
PBX1	PBX1
PGD	PGD
PHF13	PHF13
PIAS3	PIAS3
PIK3C2B	PIK3C2B
PIK3CD	PIK3CD
PKN2	PKN2
PPAP2B	PLPP3
POGZ	POGZ
POU2F1	POU2F1
PPP1R8	PPP1R8
PRCC	PRCC
PRDM16	PRDM16
PRDM2	PRDM2
PROX1	PROX1
PRPF3	PRPF3
PRRC2C	PRRC2C
PSMA5	PSMA5
PSMB2	PSMB2
PSMD4	PSMD4
PTBP2	PTBP2
PTGS2	PTGS2
PTP4A2	PTP4A2
PTPRC	PTPRC
PTPRF	PTPRF
PUM1	PUM1
PYGO2	PYGO2
RAB3GAP2	RAB3GAP2
RBBP4	RBBP4
RBBP5	RBBP5
RBM15	RBM15
RC3H1	RC3H1
RCC1	RCC1
RCC2	RCC2
RCOR3	RCOR3
RERE	RERE
RFWD2	RFWD2
RGL1	RGL1
RLF	RLF
RNF19B	RNF19B
RNF2	RNF2
ABHD17C	ABHD17C
ACAN	ACAN
ADAM10	ADAM10
AKAP13	AKAP13
ANP32A	ANP32A
AQR	AQR
ARIH1	ARIH1
ARNT2	ARNT2
ASB7	ASB7
BAHD1	BAHD1
BNC1	BNC1
CHD2	CHD2
CLPX	CLPX
COPS2	COPS2
CPEB1	CPEB1
CSK	CSK
CSNK1G1	CSNK1G1
CTDSPL2	CTDSPL2
CYFIP1	CYFIP1
DENND4A	DENND4A
DLL4	DLL4
DMXL2	DMXL2
DPP8	DPP8
FBN1	FBN1
