gene	gene_name_mut_table
KIF13A	KIF13A
KLHDC3	KLHDC3
L3MBTL3	L3MBTL3
LATS1	LATS1
LRRC1	LRRC1
MAP3K4	MAP3K4
MAP3K7	MAP3K7
MDGA1	MDGA1
NR2E1	NR2E1
NUP153	NUP153
NUS1	NUS1
PACSIN1	PACSIN1
PBX2	PBX2
PDE10A	PDE10A
PFDN6	PFDN6
PHF1	PHF1
PHF3	PHF3
PHIP	PHIP
PLAGL1	PLAGL1
PNISR	PNISR
PNRC1	PNRC1
POU3F2	POU3F2
POU5F1	POU5F1
PPARD	PPARD
PPP1R10	PPP1R10
PPP2R5D	PPP2R5D
PRDM1	PRDM1
PRPF4B	PRPF4B
PRRC2A	PRRC2A
PSMB1	PSMB1
PTK7	PTK7
PTPRK	PTPRK
RANBP9	RANBP9
REPS1	REPS1
REV3L	REV3L
RIMS1	RIMS1
FAM65B	RIPOR2
RNF8	RNF8
RPS10	RPS10
RPS10-NUDT3	RPS10-NUDT3
RPS18	RPS18
RREB1	RREB1
RUNX2	RUNX2
RWDD1	RWDD1
RXRB	RXRB
SCAF8	SCAF8
SCUBE3	SCUBE3
SENP6	SENP6
SIM1	SIM1
SLC29A1	SLC29A1
SLC35F1	SLC35F1
SMAP1	SMAP1
SNAP91	SNAP91
SOBP	SOBP
SOX4	SOX4
SPDEF	SPDEF
SRF	SRF
SRSF3	SRSF3
STXBP5	STXBP5
SYNCRIP	SYNCRIP
SYNGAP1	SYNGAP1
TAB2	TAB2
TBX18	TBX18
TCP1	TCP1
TEAD3	TEAD3
TCFAP2A	TFAP2A
TFAP2B	TFAP2B
TFAP2D	TFAP2D
TMEM63B	TMEM63B
TNFAIP3	TNFAIP3
TRAM2	TRAM2
TRERF1	TRERF1
TRIM27	TRIM27
TRIM39	TRIM39
TTBK1	TTBK1
TUBB	TUBB
TUBB2A	TUBB2A
TUBB2B	TUBB2B
TULP4	TULP4
UBR2	UBR2
USP49	USP49
WASF1	WASF1
WTAP	WTAP
XPO5	XPO5
ZBTB12	ZBTB12
ZBTB2	ZBTB2
ZFAND3	ZFAND3
ZNF292	ZNF292
ACHE	ACHE
ACTB	ACTB
ACTR3B	ACTR3B
ADCY1	ADCY1
AGAP3	AGAP3
AHCYL2	AHCYL2
AHR	AHR
ANKIB1	ANKIB1
ARF5	ARF5
ATXN7L1	ATXN7L1
AUTS2	AUTS2
BAZ1B	BAZ1B
C7orf60	BMT2
BRAF	BRAF
C7orf26	C7orf26
CACNA2D1	CACNA2D1
CALD1	CALD1
CAPZA2	CAPZA2
CARD11	CARD11
CBLL1	CBLL1
CCT6A	CCT6A
CDK13	CDK13
CDK6	CDK6
CLIP2	CLIP2
CNOT4	CNOT4
COL1A2	COL1A2
COPS6	COPS6
CUL1	CUL1
CUX1	CUX1
DBF4	DBF4
DGKI	DGKI
DLX6	DLX6
DMTF1	DMTF1
DNAJC2	DNAJC2
EIF3B	EIF3B
ELFN1	ELFN1
ETV1	ETV1
EZH2	EZH2
FAM131B	FAM131B
FEZF1	FEZF1
FLNC	FLNC
FOXP2	FOXP2
GLI3	GLI3
GNA12	GNA12
GNAI1	GNAI1
GNB2	GNB2
GRB10	GRB10
GTF2I	GTF2I
GTF2IRD1	GTF2IRD1
HDAC9	HDAC9
HECW1	HECW1
HERPUD2	HERPUD2
HGF	HGF
HIPK2	HIPK2
HNRNPA2B1	HNRNPA2B1
HOXA11	HOXA11
HOXA13	HOXA13
HOXA3	HOXA3
IGF2BP3	IGF2BP3
IGFBP3	IGFBP3
IKZF1	IKZF1
ING3	ING3
INHBA	INHBA
ITGB8	ITGB8
KBTBD2	KBTBD2
KCNH2	KCNH2
JHDM1D	KDM7A
KIAA1549	KIAA1549
KLHDC10	KLHDC10
KMT2C	KMT2C
KMT2E	KMT2E
LHFPL3	LHFPL3
LIMK1	LIMK1
LMTK2	LMTK2
LRRC4	LRRC4
MAGI2	MAGI2
MEOX2	MEOX2
MEPCE	MEPCE
MET	MET
MKLN1	MKLN1
MKRN1	MKRN1
NAMPT	NAMPT
NCAPG2	NCAPG2
NRF1	NRF1
NUP205	NUP205
NYAP1	NYAP1
OGDH	OGDH
PAXIP1	PAXIP1
PCLO	PCLO
PLXNA4	PLXNA4
PRKAG2	PRKAG2
PRKAR2B	PRKAR2B
PSMA2	PSMA2
PSMC2	PSMC2
PTPN12	PTPN12
PTPRZ1	PTPRZ1
RALA	RALA
RAPGEF5	RAPGEF5
RBM33	RBM33
RELN	RELN
RHEB	RHEB
SEMA3A	SEMA3A
SEPT7	SEPT7
SHH	SHH
SLC4A2	SLC4A2
SND1	SND1
SP4	SP4
SP8	SP8
SRPK2	SRPK2
ST7	ST7
STX1A	STX1A
TBX20	TBX20
THSD7A	THSD7A
TMEM178B	TMEM178B
TNRC18	TNRC18
TNS3	TNS3
TRIM24	TRIM24
TRRAP	TRRAP
TSC22D4	TSC22D4
TTYH3	TTYH3
UBE2H	UBE2H
UBE3C	UBE3C
UBN2	UBN2
USP42	USP42
VPS37D	VPS37D
VWC2	VWC2
YWHAG	YWHAG
ZKSCAN1	ZKSCAN1
ZMIZ2	ZMIZ2
ZNF777	ZNF777
ZNF800	ZNF800
BAI1	ADGRB1
EIF2C2	AGO2
ANGPT1	ANGPT1
ANK1	ANK1
ARFGEF1	ARFGEF1
ASAP1	ASAP1
ASH2L	ASH2L
ATAD2	ATAD2
ATP6V1B2	ATP6V1B2
AZIN1	AZIN1
CCAR2	CCAR2
CHD7	CHD7
CNOT7	CNOT7
COPS5	COPS5
CSMD1	CSMD1
DLC1	DLC1
DLGAP2	DLGAP2
DMTN	DMTN
DPYSL2	DPYSL2
E2F5	E2F5
EBF2	EBF2
EGR3	EGR3
ESRP1	ESRP1
EXT1	EXT1
EYA1	EYA1
FAM135B	FAM135B
FAM49B	FAM49B
FBXO32	FBXO32
FGF17	FGF17
FGFR1	FGFR1
FNTA	FNTA
GDF6	GDF6
GRHL2	GRHL2
HAS2	HAS2
HMBOX1	HMBOX1
HOOK3	HOOK3
IKBKB	IKBKB
IL7	IL7
INTS10	INTS10
INTS8	INTS8
KAT6A	KAT6A
KCNB2	KCNB2
KCNK9	KCNK9
KCNV1	KCNV1
LRP12	LRP12
LYN	LYN
LZTS1	LZTS1
MAF1	MAF1
MAK16	MAK16
MMP16	MMP16
MTSS1	MTSS1
MYBL1	MYBL1
MYC	MYC
NCOA2	NCOA2
NRG1	NRG1
WHSC1L1	NSD3
ODF1	ODF1
PABPC1	PABPC1
PHF20L1	PHF20L1
PLAG1	PLAG1
PPP2R2A	PPP2R2A
PRKDC	PRKDC
PTK2	PTK2
PTK2B	PTK2B
PUF60	PUF60
PURG	PURG
RAB2A	RAB2A
RAD21	RAD21
RB1CC1	RB1CC1
RBPMS	RBPMS
RDH10	RDH10
RIMS2	RIMS2
RPL7	RPL7
RPL8	RPL8
RUNX1T1	RUNX1T1
SCRIB	SCRIB
SFRP1	SFRP1
SLC20A2	SLC20A2
SQLE	SQLE
ST18	ST18
STAU2	STAU2
STMN2	STMN2
TERF1	TERF1
TOX	TOX
TRAM1	TRAM1
TRPS1	TRPS1
UBR5	UBR5
UNC5D	UNC5D
VCPIP1	VCPIP1
VDAC3	VDAC3
VIRMA	VIRMA
WWP1	WWP1
XKR4	XKR4
XKR6	XKR6
XPO7	XPO7
YTHDF3	YTHDF3
YWHAZ	YWHAZ
ZBTB10	ZBTB10
ZFHX4	ZFHX4
ZFPM2	ZFPM2
ZNF704	ZNF704
ABCA2	ABCA2
ABL1	ABL1
ALDH1A1	ALDH1A1
ANAPC2	ANAPC2
ANP32B	ANP32B
ASTN2	ASTN2
BICD2	BICD2
BNC2	BNC2
BRD3	BRD3
BRINP1	BRINP1
C9orf172	C9orf172
CACNA1B	CACNA1B
CAMSAP1	CAMSAP1
CDC14B	CDC14B
CDC37L1	CDC37L1
CLTA	CLTA
CNTFR	CNTFR
COL5A1	COL5A1
DAB2IP	DAB2IP
DAPK1	DAPK1
DENND1A	DENND1A
DNM1	DNM1
EHMT1	EHMT1
ELAVL2	ELAVL2
ENG	ENG
EPB41L4B	EPB41L4B
ERP44	ERP44
FAM120A	FAM120A
FBXW2	FBXW2
GABBR2	GABBR2
GAPVD1	GAPVD1
GDA	GDA
GNAQ	GNAQ
GOLGA2	GOLGA2
GRIN1	GRIN1
HNRNPK	HNRNPK
KIAA0368	KIAA0368
KLF4	KLF4
LHX2	LHX2
LHX6	LHX6
LRRC8A	LRRC8A
MAPKAP1	MAPKAP1
MEGF9	MEGF9
MLLT3	MLLT3
NAA35	NAA35
NCBP1	NCBP1
NFIB	NFIB
NOL6	NOL6
NOTCH1	NOTCH1
NR4A3	NR4A3
NR5A1	NR5A1
NR6A1	NR6A1
NTNG2	NTNG2
NTRK2	NTRK2
NUP188	NUP188
OLFM1	OLFM1
PAX5	PAX5
PHF19	PHF19
PHF2	PHF2
PRDM12	PRDM12
PRPF4	PRPF4
PRRC2B	PRRC2B
PSIP1	PSIP1
PTCH1	PTCH1
PPP2R4	PTPA
PTPRD	PTPRD
RAB14	RAB14
RABGAP1	RABGAP1
RABL6	RABL6
RAD23B	RAD23B
RALGPS1	RALGPS1
RAPGEF1	RAPGEF1
RC3H2	RC3H2
RFX3	RFX3
RNF38	RNF38
RORB	RORB
RPL7A	RPL7A
RPS6	RPS6
RUSC2	RUSC2
RXRA	RXRA
SCAI	SCAI
SEMA4D	SEMA4D
SET	SET
SETX	SETX
SHB	SHB
SLC44A1	SLC44A1
SMARCA2	SMARCA2
SMC2	SMC2
SMU1	SMU1
SPIN1	SPIN1
SPTAN1	SPTAN1
STRBP	STRBP
STXBP1	STXBP1
SVEP1	SVEP1
SYK	SYK
TAF1L	TAF1L
TEK	TEK
TESK1	TESK1
TEX10	TEX10
TLE1	TLE1
TLE4	TLE4
TLN1	TLN1
TOPORS	TOPORS
TRAF2	TRAF2
TSC1	TSC1
UBAP1	UBAP1
UBE2R2	UBE2R2
UBQLN1	UBQLN1
UGCG	UGCG
UHRF2	UHRF2
VCP	VCP
WDR5	WDR5
WNK2	WNK2
ZBTB34	ZBTB34
ZBTB43	ZBTB43
ZCCHC6	ZCCHC6
ZER1	ZER1
ZMYND19	ZMYND19
ZNF367	ZNF367
ZNF462	ZNF462
ZNF483	ZNF483
ZNF618	ZNF618
ABCB7	ABCB7
ABCD1	ABCD1
ACE2	ACE2
ACSL4	ACSL4
GPR64	ADGRG2
AFF2	AFF2
AIFM1	AIFM1
AKAP4	AKAP4
ALAS2	ALAS2
ALG13	ALG13
AMOT	AMOT
KAL1	ANOS1
APEX2	APEX2
AR	AR
ARAF	ARAF
ARHGAP4	ARHGAP4
ARHGAP6	ARHGAP6
ARHGEF6	ARHGEF6
ARHGEF9	ARHGEF9
ARMCX4	ARMCX4
ARX	ARX
ATG4A	ATG4A
ATP11C	ATP11C
ATP2B3	ATP2B3
ATP6AP1	ATP6AP1
ATP7A	ATP7A
ATRX	ATRX
BCOR	BCOR
BCORL1	BCORL1
BRS3	BRS3
BRWD3	BRWD3
BTK	BTK
CASK	CASK
CCDC22	CCDC22
CDK16	CDK16
CDKL5	CDKL5
CENPI	CENPI
CHM	CHM
CLCN4	CLCN4
CLCN5	CLCN5
CNKSR2	CNKSR2
COL4A5	COL4A5
CSTF2	CSTF2
CUL4B	CUL4B
CXorf56	CXorf56
CYBB	CYBB
CYLC1	CYLC1
DCAF12L1	DCAF12L1
DDX3X	DDX3X
DIAPH2	DIAPH2
DKC1	DKC1
DLG3	DLG3
DMD	DMD
EBP	EBP
EDA	EDA
EFHC2	EFHC2
EFNB1	EFNB1
EIF1AX	EIF1AX
EIF2S3	EIF2S3
ELK1	ELK1
EMD	EMD
ERCC6L	ERCC6L
F8	F8
F9	F9
FAM120C	FAM120C
FAM50A	FAM50A
FAM58A	FAM58A
FANCB	FANCB
FGD1	FGD1
FHL1	FHL1
FLNA	FLNA
FOXP3	FOXP3
FRMPD4	FRMPD4
FTSJ1	FTSJ1
G6PD	G6PD
GAB3	GAB3
GATA1	GATA1
GCNA	GCNA
GDI1	GDI1
GEMIN8	GEMIN8
GK	GK
GLA	GLA
GLRA2	GLRA2
GNL3L	GNL3L
GPC3	GPC3
GPC4	GPC4
GPKOW	GPKOW
GPR143	GPR143
GPRASP2	GPRASP2
GRIA3	GRIA3
GRIPAP1	GRIPAP1
GSPT2	GSPT2
HAUS7	HAUS7
HCFC1	HCFC1
HDAC6	HDAC6
HDAC8	HDAC8
HNRNPH2	HNRNPH2
HPRT1	HPRT1
HSD17B10	HSD17B10
HTATSF1	HTATSF1
HUWE1	HUWE1
IDS	IDS
IGBP1	IGBP1
IGSF1	IGSF1
IL13RA1	IL13RA1
IL1RAPL1	IL1RAPL1
IL1RAPL2	IL1RAPL2
IL2RG	IL2RG
DDX26B	INTS6L
IQSEC2	IQSEC2
IRAK1	IRAK1
PHF16	JADE3
KDM5C	KDM5C
KDM6A	KDM6A
KIAA2022	KIAA2022
KIF4A	KIF4A
KLHL15	KLHL15
L1CAM	L1CAM
LAS1L	LAS1L
LRCH2	LRCH2
MAGED1	MAGED1
MAGED2	MAGED2
MAGEE1	MAGEE1
MAGT1	MAGT1
MAOA	MAOA
MAOB	MAOB
MBTPS2	MBTPS2
MCF2	MCF2
MED12	MED12
MED14	MED14
MID1	MID1
MORC4	MORC4
MOSPD1	MOSPD1
MOSPD2	MOSPD2
MPP1	MPP1
MSL3	MSL3
MSN	MSN
MTM1	MTM1
MTMR1	MTMR1
NHS	NHS
NKAP	NKAP
NKRF	NKRF
NLGN3	NLGN3
NLGN4X	NLGN4X
NONO	NONO
NR0B1	NR0B1
NRK	NRK
NSDHL	NSDHL
OCRL	OCRL
OFD1	OFD1
OGT	OGT
OPHN1	OPHN1
OPN1LW	OPN1LW
OTUD5	OTUD5
PAK3	PAK3
PCDH19	PCDH19
PDHA1	PDHA1
PHEX	PHEX
PHF6	PHF6
PHF8	PHF8
PIGA	PIGA
PIM2	PIM2
PJA1	PJA1
PLP1	PLP1
PLS3	PLS3
POLA1	POLA1
PORCN	PORCN
PPEF1	PPEF1
PRPS1	PRPS1
PRPS2	PRPS2
PTCHD1	PTCHD1
RBBP7	RBBP7
RBM10	RBM10
RBM41	RBM41
RBMX2	RBMX2
RIBC1	RIBC1
RLIM	RLIM
RP2	RP2
RPGR	RPGR
RPL10	RPL10
RPS4X	RPS4X
RPS6KA3	RPS6KA3
RPS6KA6	RPS6KA6
RS1	RS1
RTL9	RTL9
SCML1	SCML1
SCML2	SCML2
SEPT6	SEPT6
SH3KBP1	SH3KBP1
SHROOM4	SHROOM4
SLC16A2	SLC16A2
SLC25A14	SLC25A14
SLC25A5	SLC25A5
SLC38A5	SLC38A5
SLC6A8	SLC6A8
SLC7A3	SLC7A3
SLC9A6	SLC9A6
SLC9A7	SLC9A7
SMARCA1	SMARCA1
SMC1A	SMC1A
SMS	SMS
STAG2	STAG2
SUV39H1	SUV39H1
SYAP1	SYAP1
SYN1	SYN1
SYP	SYP
TAF1	TAF1
TAF7L	TAF7L
TBL1X	TBL1X
TBX22	TBX22
TENM1	TENM1
TEX11	TEX11
TFE3	TFE3
THOC2	THOC2
TKTL1	TKTL1
TLR7	TLR7
TMEM164	TMEM164
TRPC5	TRPC5
TXLNG	TXLNG
UBA1	UBA1
UPF3B	UPF3B
USP11	USP11
USP27X	USP27X
USP9X	USP9X
UTP14A	UTP14A
WAS	WAS
WDR13	WDR13
WDR44	WDR44
WDR45	WDR45
WNK3	WNK3
WWC3	WWC3
XIAP	XIAP
XK	XK
ZBTB33	ZBTB33
ZC3H12B	ZC3H12B
ZC4H2	ZC4H2
ZFX	ZFX
ZIC3	ZIC3
ZMYM3	ZMYM3
ZNF182	ZNF182
ZNF280C	ZNF280C
ZNF711	ZNF711
ZRSR2	ZRSR2
ZXDB	ZXDB
DDX3Y	DDX3Y
KDM5D	KDM5D
UTY	UTY
